년월,시도,시군구,충전요금,고객호수,판매량,판매수입
2025-04,서울특별시,중구,사업자용,401,581436,96324382
2025-04,서울특별시,강남구,자가용,392,322592,59508712
2025-04,서울특별시,강남구,사업자용,1239,1886229,284046477
2025-04,서울특별시,강동구,자가용,290,959776,125931710
2025-04,서울특별시,강동구,사업자용,622,975674,138388347
2025-04,서울특별시,강북구,자가용,192,534801,68774347
2025-04,서울특별시,강북구,사업자용,296,395302,66829108
2025-04,서울특별시,강서구,자가용,192,689900,89524064
2025-04,서울특별시,강서구,사업자용,1042,1359454,213120842
2025-04,서울특별시,관악구,자가용,199,305409,40944652
2025-04,서울특별시,관악구,사업자용,406,493978,77403975
2025-04,서울특별시,광진구,자가용,217,232533,31258490
2025-04,서울특별시,광진구,사업자용,337,465990,71349608
2025-04,서울특별시,구로구,자가용,113,462774,56337616
2025-04,서울특별시,구로구,사업자용,674,885533,137029425
2025-04,서울특별시,금천구,자가용,94,575246,69147435
2025-04,서울특별시,금천구,사업자용,430,599976,100903730
2025-04,서울특별시,노원구,자가용,97,539313,71337773
2025-04,서울특별시,노원구,사업자용,723,918769,146179764
2025-04,서울특별시,도봉구,자가용,152,972646,117629730
2025-04,서울특별시,도봉구,사업자용,389,730448,110983096
2025-04,서울특별시,동작구,자가용,175,164138,24635799
2025-04,서울특별시,동작구,사업자용,484,520321,78537130
2025-04,서울특별시,마포구,자가용,191,388436,52455802
2025-04,서울특별시,마포구,사업자용,705,870587,123692092
2025-04,서울특별시,서초구,자가용,344,444363,63171923
2025-04,서울특별시,서초구,사업자용,975,1623122,244197363
2025-04,서울특별시,성동구,자가용,115,322138,42665121
2025-04,서울특별시,성동구,사업자용,671,886172,150702660
2025-04,서울특별시,성북구,자가용,256,691270,86419861
2025-04,서울특별시,성북구,사업자용,684,769475,117121810
2025-04,서울특별시,송파구,자가용,305,476170,66725902
2025-04,서울특별시,송파구,사업자용,810,2030335,287495011
2025-04,서울특별시,양천구,자가용,148,846977,104474172
2025-04,서울특별시,양천구,사업자용,497,846316,130880440
2025-04,서울특별시,용산구,자가용,159,201198,30488151
2025-04,서울특별시,용산구,사업자용,384,582667,92800875
2025-04,서울특별시,은평구,자가용,246,979526,122767157
2025-04,서울특별시,은평구,사업자용,620,900448,130086470
2025-04,서울특별시,종로구,자가용,273,154957,27908399
2025-04,서울특별시,종로구,사업자용,306,375776,66406416
2025-04,서울특별시,중랑구,자가용,227,1364612,162936504
2025-04,서울특별시,중랑구,사업자용,524,779869,118169072
2025-04,서울특별시,동대문구,자가용,125,96648,13424586
2025-04,서울특별시,동대문구,사업자용,484,553872,87869674
2025-04,서울특별시,서대문구,자가용,184,498404,63835621
2025-04,서울특별시,서대문구,사업자용,522,528218,47466970
2025-04,서울특별시,영등포구,자가용,121,309462,42670646
2025-04,서울특별시,영등포구,사업자용,797,1133417,186165990
2025-04,울산광역시,남구,자가용,243,133582,23478652
2025-04,울산광역시,남구,사업자용,658,827739,136762229
2025-04,울산광역시,동구,자가용,73,51779,8816531
2025-04,울산광역시,동구,사업자용,256,212747,39716223
2025-04,울산광역시,북구,자가용,165,132847,19892892
2025-04,울산광역시,북구,사업자용,551,768804,129300450
2025-04,울산광역시,중구,자가용,196,135175,21662930
2025-04,울산광역시,중구,사업자용,378,359103,62245182
2025-04,울산광역시,울주군,자가용,484,279344,44867042
2025-04,울산광역시,울주군,사업자용,540,1146483,174765527
2025-04,인천광역시,동구,자가용,24,87535,12222980
2025-04,인천광역시,동구,사업자용,133,161661,27849736
2025-04,인천광역시,서구,자가용,355,1369962,179447965
2025-04,인천광역시,서구,사업자용,1584,2768469,396447301
2025-04,인천광역시,중구,자가용,244,823594,105018473
2025-04,인천광역시,중구,사업자용,457,1009193,153105282
2025-04,인천광역시,강화군,자가용,602,270757,41290449
2025-04,인천광역시,강화군,사업자용,152,597018,88427421
2025-04,인천광역시,계양구,자가용,84,137296,18034778
2025-04,인천광역시,계양구,사업자용,453,715450,113740798
2025-04,인천광역시,남동구,자가용,200,249955,36741587
2025-04,인천광역시,남동구,사업자용,1004,1531064,233515044
2025-04,인천광역시,부평구,자가용,126,283576,37634859
2025-04,인천광역시,부평구,사업자용,744,1105623,163551134
2025-04,인천광역시,연수구,자가용,105,925064,113134837
2025-04,인천광역시,연수구,사업자용,1149,2257921,319682520
2025-04,인천광역시,옹진군,자가용,33,6315,1273825
2025-04,인천광역시,옹진군,사업자용,35,12337,6366204
2025-04,인천광역시,미추홀구,자가용,149,179197,24802560
2025-04,인천광역시,미추홀구,사업자용,554,861601,135711971
2025-04,강원특별자치도,강릉시,자가용,737,538903,76041236
2025-04,강원특별자치도,강릉시,사업자용,579,1044476,187349336
2025-04,강원특별자치도,고성군,자가용,126,48426,7633221
2025-04,강원특별자치도,고성군,사업자용,110,120111,29631938
2025-04,강원특별자치도,동해시,자가용,180,88901,13994299
2025-04,강원특별자치도,동해시,사업자용,246,264123,52347158
2025-04,강원특별자치도,삼척시,자가용,218,107469,16977155
2025-04,강원특별자치도,삼척시,사업자용,193,209512,54322913
2025-04,강원특별자치도,속초시,자가용,139,74573,10431334
2025-04,강원특별자치도,속초시,사업자용,327,430174,75927518
2025-04,강원특별자치도,양구군,자가용,71,35057,5234724
2025-04,강원특별자치도,양구군,사업자용,63,63298,16675703
2025-04,강원특별자치도,양양군,자가용,138,47402,7915188
2025-04,강원특별자치도,양양군,사업자용,99,173880,39943373
2025-04,강원특별자치도,영월군,자가용,144,66366,9835773
2025-04,강원특별자치도,영월군,사업자용,99,100412,25518189
2025-04,강원특별자치도,원주시,자가용,568,313742,50255874
2025-04,강원특별자치도,원주시,사업자용,1114,2087598,325731721
2025-04,강원특별자치도,인제군,자가용,92,48124,8696163
2025-04,강원특별자치도,인제군,사업자용,122,209760,42446068
2025-04,강원특별자치도,정선군,자가용,86,103569,17593593
2025-04,강원특별자치도,정선군,사업자용,133,179564,39366950
2025-04,강원특별자치도,철원군,자가용,139,64086,9945042
2025-04,강원특별자치도,철원군,사업자용,99,74732,27793075
2025-04,강원특별자치도,춘천시,자가용,752,413768,64079927
2025-04,강원특별자치도,춘천시,사업자용,817,1697988,255240185
2025-04,강원특별자치도,태백시,자가용,68,51896,9048232
2025-04,강원특별자치도,태백시,사업자용,98,141275,27735691
2025-04,강원특별자치도,평창군,자가용,205,110037,17545771
2025-04,강원특별자치도,평창군,사업자용,177,227735,49191180
2025-04,강원특별자치도,홍천군,자가용,236,133251,19531412
2025-04,강원특별자치도,홍천군,사업자용,182,309183,63567069
2025-04,강원특별자치도,화천군,자가용,56,30041,5375783
2025-04,강원특별자치도,화천군,사업자용,65,63281,12978691
2025-04,강원특별자치도,횡성군,자가용,225,149256,21584007
2025-04,강원특별자치도,횡성군,사업자용,141,228542,45536677
2025-04,세종특별자치시,,자가용,441,765068,105172117
2025-04,세종특별자치시,,사업자용,1409,3050560,429488703
2025-04,전북특별자치도,고창군,자가용,225,111210,17148867
2025-04,전북특별자치도,고창군,사업자용,136,242275,54819261
2025-04,전북특별자치도,군산시,자가용,473,552311,74600256
2025-04,전북특별자치도,군산시,사업자용,831,1690444,278051924
2025-04,전북특별자치도,김제시,자가용,384,179126,30594252
2025-04,전북특별자치도,김제시,사업자용,186,184292,46316128
2025-04,전북특별자치도,남원시,자가용,311,187245,29595560
2025-04,전북특별자치도,남원시,사업자용,219,334098,74117237
2025-04,전북특별자치도,무주군,자가용,116,55804,11767821
2025-04,전북특별자치도,무주군,사업자용,92,105368,27653513
2025-04,전북특별자치도,부안군,자가용,159,65857,10361860
